Item ID,Length,Width,Height,Absorbs
2030-TARP,23 in. / 58 cm,23 in. / 58 cm,12 in. / 30 cm
6595-TARP,33 in. / 84 cm,33 in. / 84 cm,23 in. / 58 cm
