Item ID,Diameter,Length,Width,Height,Class,Type,Capabilities,Absorbs,Quantity
EG029-0121-00EP,,4 in. / 10 cm,6 in. / 15 cm ,8 in. / 20 cm,,Granular,,,1
EG029-0121-06EP,,13.5 in. / 34 cm,13.5 in. / 34 cm,7 in. / 18 cm,,Granular,,,6
EC029-0160-06EP,,10 in. / 25 cm ,8 in. / 20 cm ,8 in. / 20 cm,,Granular,,,6
EC029-0009-00EP,,14 in. / 36 cm,14 in. / 36 cm,15 in. / 38 cm,,Granular,,,1
EC029-0025-00EP,,15 in. / 38 cm,15 in. / 38 cm,27.5 in. / 70 cm ,,Granular,,,1
13-TS,,,,,,,,,10/Bag
